Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Sum
1999,Female,Incidence,Acute lymphoblastic leukaemia,36.0,16.0,19.0,13.0,1.0,3.0,6.0,4.0,1.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,6.0,0.0,0.0,
2000,Female,Incidence,Acute lymphoblastic leukaemia,42.0,16.0,12.0,9.0,1.0,0.0,3.0,4.0,7.0,1.0,6.0,6.0,1.0,5.0,8.0,3.0,6.0,5.0,0.0,
2001,Female,Incidence,Acute lymphoblastic leukaemia,36.0,26.0,16.0,3.0,0.0,7.0,3.0,1.0,5.0,4.0,2.0,5.0,1.0,1.0,2.0,7.0,4.0,5.0,0.0,
2002,Female,Incidence,Acute lymphoblastic leukaemia,38.0,24.0,13.0,4.0,3.0,7.0,7.0,2.0,1.0,5.0,6.0,3.0,7.0,6.0,2.0,7.0,5.0,6.0,0.0,
2003,Female,Incidence,Acute lymphoblastic leukaemia,42.0,29.0,11.0,7.0,1.0,0.0,3.0,1.0,7.0,0.0,7.0,6.0,3.0,6.0,6.0,5.0,4.0,4.0,0.0,
2004,Female,Incidence,Acute lymphoblastic leukaemia,54.0,19.0,15.0,5.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,5.0,6.0,4.0,7.0,5.0,4.0,4.0,0.0,
2005,Female,Incidence,Acute lymphoblastic leukaemia,25.0,13.0,14.0,12.0,7.0,6.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,6.0,6.0,3.0,5.0,5.0,0.0,
2006,Female,Incidence,Acute lymphoblastic leukaemia,44.0,23.0,8.0,9.0,5.0,2.0,2.0,0.0,2.0,2.0,7.0,6.0,4.0,10.0,3.0,5.0,2.0,3.0,0.0,
2007,Female,Incidence,Acute lymphoblastic leukaemia,50.0,20.0,9.0,2.0,6.0,5.0,4.0,10.0,4.0,6.0,7.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,
2008,Female,Incidence,Acute lymphoblastic leukaemia,50.0,16.0,10.0,4.0,5.0,2.0,0.0,1.0,3.0,2.0,9.0,8.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,
2009,Female,Incidence,Acute lymphoblastic leukaemia,46.0,17.0,14.0,5.0,6.0,2.0,3.0,2.0,4.0,7.0,6.0,1.0,12.0,5.0,6.0,2.0,2.0,1.0,0.0,
2010,Female,Incidence,Acute lymphoblastic leukaemia,46.0,19.0,10.0,8.0,2.0,6.0,4.0,4.0,3.0,3.0,6.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,0.0,
2011,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1968,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1969,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1970,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1971,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1972,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1973,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1974,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1975,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1976,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1977,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1978,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1979,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1980,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1981,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1982,Persons,Incidence,Acute lymphoblastic leukaemia,81.0,41.0,24.0,19.0,7.0,5.0,7.0,5.0,1.0,2.0,2.0,1.0,10.0,6.0,3.0,4.0,5.0,1.0,0.0,
1983,Persons,Incidence,Acute lymphoblastic leukaemia,65.0,30.0,20.0,6.0,8.0,9.0,6.0,4.0,2.0,1.0,2.0,0.0,4.0,6.0,6.0,8.0,7.0,4.0,0.0,
1984,Persons,Incidence,Acute lymphoblastic leukaemia,80.0,38.0,17.0,21.0,13.0,2.0,4.0,2.0,3.0,4.0,2.0,7.0,8.0,4.0,7.0,3.0,3.0,1.0,0.0,
1985,Persons,Incidence,Acute lymphoblastic leukaemia,94.0,27.0,28.0,18.0,10.0,3.0,9.0,6.0,1.0,4.0,6.0,7.0,6.0,10.0,6.0,10.0,2.0,2.0,0.0,
1986,Persons,Incidence,Acute lymphoblastic leukaemia,81.0,30.0,22.0,16.0,10.0,9.0,7.0,6.0,2.0,2.0,4.0,5.0,7.0,9.0,6.0,5.0,0.0,4.0,0.0,
1987,Persons,Incidence,Acute lymphoblastic leukaemia,69.0,35.0,21.0,26.0,10.0,3.0,8.0,2.0,9.0,2.0,3.0,7.0,7.0,6.0,9.0,5.0,5.0,3.0,0.0,
1988,Persons,Incidence,Acute lymphoblastic leukaemia,73.0,28.0,23.0,16.0,12.0,8.0,5.0,6.0,10.0,6.0,2.0,8.0,10.0,5.0,7.0,3.0,6.0,2.0,0.0,
1989,Persons,Incidence,Acute lymphoblastic leukaemia,72.0,39.0,27.0,18.0,8.0,9.0,8.0,9.0,2.0,4.0,4.0,9.0,8.0,5.0,5.0,6.0,5.0,5.0,0.0,
1990,Persons,Incidence,Acute lymphoblastic leukaemia,81.0,39.0,28.0,28.0,11.0,11.0,4.0,3.0,2.0,7.0,4.0,5.0,3.0,7.0,9.0,7.0,5.0,1.0,0.0,
1991,Persons,Incidence,Acute lymphoblastic leukaemia,83.0,46.0,24.0,15.0,16.0,9.0,1.0,4.0,6.0,5.0,6.0,2.0,7.0,11.0,5.0,8.0,4.0,2.0,0.0,
1992,Persons,Incidence,Acute lymphoblastic leukaemia,84.0,39.0,19.0,22.0,11.0,9.0,12.0,7.0,7.0,4.0,4.0,5.0,4.0,13.0,10.0,7.0,2.0,8.0,0.0,
1993,Persons,Incidence,Acute lymphoblastic leukaemia,84.0,37.0,19.0,24.0,7.0,10.0,6.0,14.0,7.0,9.0,4.0,9.0,5.0,7.0,4.0,5.0,7.0,6.0,0.0,
1994,Persons,Incidence,Acute lymphoblastic leukaemia,88.0,39.0,18.0,19.0,10.0,6.0,16.0,5.0,8.0,6.0,6.0,9.0,8.0,9.0,6.0,10.0,5.0,7.0,0.0,
1995,Persons,Incidence,Acute lymphoblastic leukaemia,79.0,42.0,22.0,19.0,9.0,4.0,7.0,6.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,7.0,3.0,7.0,0.0,
1996,Persons,Incidence,Acute lymphoblastic leukaemia,82.0,56.0,30.0,21.0,9.0,9.0,8.0,9.0,7.0,5.0,5.0,4.0,4.0,8.0,12.0,10.0,6.0,4.0,0.0,
1997,Persons,Incidence,Acute lymphoblastic leukaemia,74.0,32.0,31.0,16.0,10.0,10.0,5.0,14.0,5.0,10.0,6.0,6.0,7.0,6.0,6.0,4.0,2.0,9.0,0.0,
1998,Persons,Incidence,Acute lymphoblastic leukaemia,77.0,51.0,23.0,25.0,15.0,10.0,10.0,7.0,12.0,9.0,11.0,13.0,9.0,14.0,14.0,3.0,12.0,4.0,0.0,
1999,Persons,Incidence,Acute lymphoblastic leukaemia,85.0,36.0,31.0,28.0,7.0,8.0,12.0,9.0,6.0,9.0,6.0,8.0,9.0,6.0,13.0,9.0,10.0,4.0,0.0,
2000,Persons,Incidence,Acute lymphoblastic leukaemia,93.0,39.0,25.0,25.0,13.0,5.0,8.0,8.0,12.0,5.0,8.0,11.0,7.0,11.0,11.0,5.0,12.0,7.0,0.0,
2001,Persons,Incidence,Acute lymphoblastic leukaemia,85.0,57.0,34.0,16.0,7.0,12.0,8.0,7.0,9.0,9.0,10.0,12.0,4.0,5.0,5.0,12.0,4.0,6.0,0.0,
2002,Persons,Incidence,Acute lymphoblastic leukaemia,75.0,54.0,29.0,15.0,7.0,11.0,11.0,4.0,7.0,6.0,15.0,7.0,16.0,11.0,7.0,12.0,9.0,8.0,0.0,
2003,Persons,Incidence,Acute lymphoblastic leukaemia,98.0,55.0,27.0,23.0,11.0,2.0,7.0,4.0,12.0,6.0,14.0,7.0,10.0,10.0,11.0,8.0,7.0,9.0,0.0,
2004,Persons,Incidence,Acute lymphoblastic leukaemia,116.0,47.0,30.0,18.0,14.0,8.0,8.0,10.0,9.0,7.0,14.0,8.0,9.0,7.0,10.0,10.0,8.0,6.0,0.0,
2005,Persons,Incidence,Acute lymphoblastic leukaemia,71.0,43.0,37.0,23.0,11.0,10.0,6.0,12.0,4.0,5.0,10.0,12.0,5.0,11.0,13.0,8.0,8.0,6.0,0.0,
2006,Persons,Incidence,Acute lymphoblastic leukaemia,86.0,39.0,33.0,22.0,13.0,8.0,7.0,4.0,4.0,7.0,13.0,11.0,9.0,16.0,11.0,7.0,5.0,5.0,0.0,
2007,Persons,Incidence,Acute lymphoblastic leukaemia,109.0,42.0,29.0,22.0,12.0,10.0,9.0,17.0,9.0,12.0,9.0,6.0,11.0,3.0,7.0,3.0,4.0,2.0,0.0,
2008,Persons,Incidence,Acute lymphoblastic leukaemia,92.0,39.0,30.0,20.0,17.0,6.0,4.0,7.0,6.0,10.0,14.0,16.0,15.0,7.0,6.0,7.0,6.0,2.0,0.0,
2009,Persons,Incidence,Acute lymphoblastic leukaemia,97.0,41.0,36.0,22.0,9.0,7.0,7.0,3.0,11.0,10.0,11.0,7.0,14.0,10.0,10.0,8.0,3.0,5.0,0.0,
2010,Persons,Incidence,Acute lymphoblastic leukaemia,88.0,52.0,30.0,24.0,11.0,17.0,11.0,12.0,4.0,8.0,9.0,10.0,11.0,9.0,8.0,4.0,6.0,4.0,0.0,
2011,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,
1968,Male,Mortality,Acute lymphoblastic leukaemia,10.0,10.0,4.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,
1969,Male,Mortality,Acute lymphoblastic leukaemia,14.0,12.0,15.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,5.0,3.0,2.0,0.0,0.0,
1970,Male,Mortality,Acute lymphoblastic leukaemia,15.0,17.0,5.0,6.0,6.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,
1971,Male,Mortality,Acute lymphoblastic leukaemia,21.0,24.0,11.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,
1972,Male,Mortality,Acute lymphoblastic leukaemia,18.0,20.0,8.0,4.0,1.0,3.0,3.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,
1973,Male,Mortality,Acute lymphoblastic leukaemia,13.0,14.0,7.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,
1974,Male,Mortality,Acute lymphoblastic leukaemia,11.0,11.0,10.0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,6.0,1.0,0.0,0.0,
1975,Male,Mortality,Acute lymphoblastic leukaemia,13.0,14.0,6.0,13.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0,1.0,0.0,
1976,Male,Mortality,Acute lymphoblastic leukaemia,9.0,12.0,8.0,7.0,5.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,
1977,Male,Mortality,Acute lymphoblastic leukaemia,11.0,14.0,7.0,9.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,
1978,Male,Mortality,Acute lymphoblastic leukaemia,9.0,12.0,5.0,10.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,
1979,Male,Mortality,Acute lymphoblastic leukaemia,7.0,10.0,5.0,6.0,7.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,
1980,Male,Mortality,Acute lymphoblastic leukaemia,8.0,22.0,8.0,14.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,3.0,0.0,
1981,Male,Mortality,Acute lymphoblastic leukaemia,8.0,8.0,9.0,7.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,7.0,2.0,1.0,1.0,1.0,0.0,
1982,Male,Mortality,Acute lymphoblastic leukaemia,4.0,15.0,7.0,7.0,10.0,6.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,0.0,0.0,
1983,Male,Mortality,Acute lymphoblastic leukaemia,6.0,13.0,13.0,11.0,7.0,0.0,8.0,1.0,2.0,1.0,2.0,4.0,1.0,6.0,8.0,1.0,6.0,2.0,0.0,
1984,Male,Mortality,Acute lymphoblastic leukaemia,10.0,7.0,8.0,6.0,11.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,3.0,0.0,
1985,Male,Mortality,Acute lymphoblastic leukaemia,6.0,12.0,10.0,12.0,8.0,1.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,4.0,6.0,7.0,3.0,2.0,0.0,
1986,Male,Mortality,Acute lymphoblastic leukaemia,5.0,8.0,4.0,9.0,6.0,4.0,3.0,0.0,2.0,0.0,2.0,4.0,6.0,2.0,2.0,5.0,3.0,3.0,0.0,
1987,Male,Mortality,Acute lymphoblastic leukaemia,6.0,8.0,9.0,8.0,3.0,6.0,3.0,2.0,2.0,1.0,0.0,0.0,7.0,4.0,5.0,3.0,2.0,3.0,0.0,
1988,Male,Mortality,Acute lymphoblastic leukaemia,2.0,3.0,5.0,12.0,6.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,8.0,3.0,6.0,2.0,3.0,2.0,0.0,
1989,Male,Mortality,Acute lymphoblastic leukaemia,1.0,12.0,6.0,16.0,5.0,4.0,2.0,3.0,0.0,6.0,2.0,3.0,5.0,3.0,1.0,2.0,2.0,1.0,0.0,
1990,Male,Mortality,Acute lymphoblastic leukaemia,7.0,11.0,3.0,7.0,5.0,3.0,4.0,5.0,3.0,2.0,1.0,6.0,2.0,2.0,6.0,3.0,2.0,1.0,0.0,
